2023-11-28 05:25:02 status unpacked libfile-find-rule-perl:all 0.34-3
2023-11-28 05:25:02 install libgcrypt20:amd64 <none> 1.10.1-3
2023-11-28 05:25:02 status half-installed libgcrypt20:amd64 1.10.1-3
2023-11-28 05:25:02 status unpacked libgcrypt20:amd64 1.10.1-3
2023-11-28 05:25:02 install libgpg-error0:amd64 <none> 1.46-1
2023-11-28 05:25:02 status half-installed libgpg-error0:amd64 1.46-1
2023-11-28 05:25:02 status unpacked libgpg-error0:amd64 1.46-1
2023-11-28 05:25:02 install libidn2-0:amd64 <none> 2.3.3-1+b1
2023-11-28 05:25:02 status half-installed libidn2-0:amd64 2.3.3-1+b1
2023-11-28 05:25:02 status unpacked libidn2-0:amd64 2.3.3-1+b1
2023-11-28 05:25:02 install libmd0:amd64 <none> 1.0.4-2
2023-11-28 05:25:02 status half-installed libmd0:amd64 1.0.4-2
2023-11-28 05:25:02 status unpacked libmd0:amd64 1.0.4-2
2023-11-28 05:25:02 install libnumber-compare-perl:all <none> 0.03-3
2023-11-28 05:25:02 status half-installed libnumber-compare-perl:all 0.03-3
2023-11-28 05:25:02 status unpacked libnumber-compare-perl:all 0.03-3
2023-11-28 05:25:02 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-11-28 05:25:02 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-11-28 05:25:02 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-11-28 05:25:02 install libselinux1:amd64 <none> 3.4-1+b6
2023-11-28 05:25:02 status half-installed libselinux1:amd64 3.4-1+b6
2023-11-28 05:25:02 status unpacked libselinux1:amd64 3.4-1+b6
2023-11-28 05:25:02 install libsemanage-common:all <none> 3.4-1
2023-11-28 05:25:02 status half-installed libsemanage-common:all 3.4-1
2023-11-28 05:25:02 status unpacked libsemanage-common:all 3.4-1
2023-11-28 05:25:02 install libsemanage2:amd64 <none> 3.4-1+b5
2023-11-28 05:25:02 status half-installed libsemanage2:amd64 3.4-1+b5
2023-11-28 05:25:02 status unpacked libsemanage2:amd64 3.4-1+b5
2023-11-28 05:25:02 install libsepol2:amd64 <none> 3.4-2.1
2023-11-28 05:25:02 status half-installed libsepol2:amd64 3.4-2.1
2023-11-28 05:25:02 status unpacked libsepol2:amd64 3.4-2.1
2023-11-28 05:25:02 install libtasn1-6:amd64 <none> 4.19.0-2
2023-11-28 05:25:02 status half-installed libtasn1-6:amd64 4.19.0-2
2023-11-28 05:25:02 status unpacked libtasn1-6:amd64 4.19.0-2
2023-11-28 05:25:02 install libtext-glob-perl:all <none> 0.11-3
2023-11-28 05:25:02 status half-installed libtext-glob-perl:all 0.11-3
2023-11-28 05:25:02 status unpacked libtext-glob-perl:all 0.11-3
2023-11-28 05:25:02 install libunistring2:amd64 <none> 1.0-2
2023-11-28 05:25:02 status half-installed libunistring2:amd64 1.0-2
2023-11-28 05:25:02 status unpacked libunistring2:amd64 1.0-2
2023-11-28 05:25:02 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-11-28 05:25:02 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-11-28 05:25:02 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-11-28 05:25:02 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-11-28 05:25:02 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-11-28 05:25:02 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-11-28 05:25:02 install liblz4-1:amd64 <none> 1.9.4-1
2023-11-28 05:25:02 status half-installed liblz4-1:amd64 1.9.4-1
2023-11-28 05:25:02 status unpacked liblz4-1:amd64 1.9.4-1
2023-11-28 05:25:02 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-11-28 05:25:02 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:25:02 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:25:02 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:25:02 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-11-28 05:25:02 install libtinfo6:amd64 <none> 6.4-4
2023-11-28 05:25:02 status half-installed libtinfo6:amd64 6.4-4
2023-11-28 05:25:02 status unpacked libtinfo6:amd64 6.4-4
2023-11-28 05:25:02 install ncurses-base:all <none> 6.4-4
2023-11-28 05:25:02 status half-installed ncurses-base:all 6.4-4
2023-11-28 05:25:02 status unpacked ncurses-base:all 6.4-4
2023-11-28 05:25:02 install ncurses-bin:amd64 <none> 6.4-4
2023-11-28 05:25:02 status half-installed ncurses-bin:amd64 6.4-4
2023-11-28 05:25:02 status unpacked ncurses-bin:amd64 6.4-4
2023-11-28 05:25:02 install libhogweed6:amd64 <none> 3.8.1-2
2023-11-28 05:25:02 status half-installed libhogweed6:amd64 3.8.1-2
2023-11-28 05:25:03 status unpacked libhogweed6:amd64 3.8.1-2
2023-11-28 05:25:03 install libnettle8:amd64 <none> 3.8.1-2
2023-11-28 05:25:03 status half-installed libnettle8:amd64 3.8.1-2
2023-11-28 05:25:03 status unpacked libnettle8:amd64 3.8.1-2
2023-11-28 05:25:03 install libp11-kit0:amd64 <none> 0.24.1-2
2023-11-28 05:25:03 status half-installed libp11-kit0:amd64 0.24.1-2
2023-11-28 05:25:03 status unpacked libp11-kit0:amd64 0.24.1-2
2023-11-28 05:25:03 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 05:25:03 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 05:25:03 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2023-11-28 05:25:03 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2023-11-28 05:25:03 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2023-11-28 05:25:03 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 05:25:03 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2023-11-28 05:25:03 install libpcre2-8-0:amd64 <none> 10.42-1
2023-11-28 05:25:03 status half-installed libpcre2-8-0:amd64 10.42-1
2023-11-28 05:25:03 status unpacked libpcre2-8-0:amd64 10.42-1
2023-11-28 05:25:03 install libperl5.36:amd64 <none> 5.36.0-7
2023-11-28 05:25:03 status half-installed libperl5.36:amd64 5.36.0-7
2023-11-28 05:25:03 status unpacked libperl5.36:amd64 5.36.0-7
2023-11-28 05:25:03 install perl:amd64 <none> 5.36.0-7
2023-11-28 05:25:03 status half-installed perl:amd64 5.36.0-7
2023-11-28 05:25:03 status unpacked perl:amd64 5.36.0-7
2023-11-28 05:25:03 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-11-28 05:25:03 status half-configured perl-base:amd64 5.36.0-7
2023-11-28 05:25:03 status unpacked perl-base:amd64 5.36.0-7
2023-11-28 05:25:03 status half-installed perl-base:amd64 5.36.0-7
2023-11-28 05:25:04 status unpacked perl-base:amd64 5.36.0-7
2023-11-28 05:25:04 install perl-modules-5.36:all <none> 5.36.0-7
2023-11-28 05:25:04 status half-installed perl-modules-5.36:all 5.36.0-7
2023-11-28 05:25:04 status unpacked perl-modules-5.36:all 5.36.0-7
2023-11-28 05:25:04 install sed:amd64 <none> 4.9-1
2023-11-28 05:25:04 status half-installed sed:amd64 4.9-1
2023-11-28 05:25:04 status unpacked sed:amd64 4.9-1
2023-11-28 05:25:04 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2023-11-28 05:25:04 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2023-11-28 05:25:04 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2023-11-28 05:25:04 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2023-11-28 05:25:04 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2023-11-28 05:25:05 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2023-11-28 05:25:05 install libsystemd0:amd64 <none> 252.17-1~deb12u1
2023-11-28 05:25:05 status half-installed libsystemd0:amd64 252.17-1~deb12u1
2023-11-28 05:25:05 status unpacked libsystemd0:amd64 252.17-1~deb12u1
2023-11-28 05:25:05 install libudev1:amd64 <none> 252.17-1~deb12u1
2023-11-28 05:25:05 status half-installed libudev1:amd64 252.17-1~deb12u1
2023-11-28 05:25:05 status unpacked libudev1:amd64 252.17-1~deb12u1
2023-11-28 05:25:05 install sysvinit-utils:amd64 <none> 3.06-4
2023-11-28 05:25:05 status half-installed sysvinit-utils:amd64 3.06-4
2023-11-28 05:25:05 status unpacked sysvinit-utils:amd64 3.06-4
2023-11-28 05:25:05 install tar:amd64 <none> 1.34+dfsg-1.2
2023-11-28 05:25:05 status half-installed tar:amd64 1.34+dfsg-1.2
2023-11-28 05:25:05 status unpacked tar:amd64 1.34+dfsg-1.2
2023-11-28 05:25:05 install tzdata:all <none> 2023c-5
2023-11-28 05:25:05 status half-installed tzdata:all 2023c-5
2023-11-28 05:25:05 status unpacked tzdata:all 2023c-5
2023-11-28 05:25:05 install usrmerge:all <none> 35
2023-11-28 05:25:05 status half-installed usrmerge:all 35
2023-11-28 05:25:05 status unpacked usrmerge:all 35
2023-11-28 05:25:05 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2023-11-28 05:25:05 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2023-11-28 05:25:05 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2023-11-28 05:25:05 install libblkid1:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed libblkid1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked libblkid1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 install libmount1:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed libmount1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked libmount1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-11-28 05:25:05 install mount:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed mount:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked mount:amd64 2.38.1-5+b1
2023-11-28 05:25:05 install util-linux:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:05 status half-installed util-linux:amd64 2.38.1-5+b1
2023-11-28 05:25:05 status unpacked util-linux:amd64 2.38.1-5+b1
2023-11-28 05:25:06 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2023-11-28 05:25:06 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2023-11-28 05:25:06 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2023-11-28 05:25:06 install libxxhash0:amd64 <none> 0.8.1-1
2023-11-28 05:25:06 status half-installed libxxhash0:amd64 0.8.1-1
2023-11-28 05:25:06 status unpacked libxxhash0:amd64 0.8.1-1
2023-11-28 05:25:06 install liblzma5:amd64 <none> 5.4.1-0.2
2023-11-28 05:25:06 status half-installed liblzma5:amd64 5.4.1-0.2
2023-11-28 05:25:06 status unpacked liblzma5:amd64 5.4.1-0.2
2023-11-28 05:25:06 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2023-11-28 05:25:06 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2023-11-28 05:25:06 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2023-11-28 05:25:06 startup packages configure
2023-11-28 05:25:06 configure libtext-glob-perl:all 0.11-3 <none>
2023-11-28 05:25:06 status unpacked libtext-glob-perl:all 0.11-3
2023-11-28 05:25:06 status half-configured libtext-glob-perl:all 0.11-3
2023-11-28 05:25:06 status installed libtext-glob-perl:all 0.11-3
2023-11-28 05:25:06 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2023-11-28 05:25:06 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 05:25:06 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 05:25:06 status installed debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 05:25:06 configure libaudit-common:all 1:3.0.9-1 <none>
2023-11-28 05:25:06 status unpacked libaudit-common:all 1:3.0.9-1
2023-11-28 05:25:06 status half-configured libaudit-common:all 1:3.0.9-1
2023-11-28 05:25:06 status installed libaudit-common:all 1:3.0.9-1
