2023-11-28 21:14:35 status unpacked bash:amd64 5.2.15-2+b2
2023-11-28 21:14:35 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2023-11-28 21:14:35 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2023-11-28 21:14:35 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2023-11-28 21:14:35 install libdebconfclient0:amd64 <none> 0.270
2023-11-28 21:14:35 status half-installed libdebconfclient0:amd64 0.270
2023-11-28 21:14:35 status unpacked libdebconfclient0:amd64 0.270
2023-11-28 21:14:36 install coreutils:amd64 <none> 9.1-1
2023-11-28 21:14:36 status half-installed coreutils:amd64 9.1-1
2023-11-28 21:14:37 status unpacked coreutils:amd64 9.1-1
2023-11-28 21:14:37 install dash:amd64 <none> 0.5.12-2
2023-11-28 21:14:37 status half-installed dash:amd64 0.5.12-2
2023-11-28 21:14:37 status unpacked dash:amd64 0.5.12-2
2023-11-28 21:14:37 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2023-11-28 21:14:37 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-11-28 21:14:37 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-11-28 21:14:37 upgrade debconf:all 1.5.82 1.5.82
2023-11-28 21:14:37 status half-configured debconf:all 1.5.82
2023-11-28 21:14:37 status unpacked debconf:all 1.5.82
2023-11-28 21:14:37 status half-installed debconf:all 1.5.82
2023-11-28 21:14:37 status unpacked debconf:all 1.5.82
2023-11-28 21:14:38 install debian-archive-keyring:all <none> 2023.3+deb12u1
2023-11-28 21:14:38 status half-installed debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 21:14:38 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 21:14:38 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2023-11-28 21:14:38 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2023-11-28 21:14:38 status unpacked debianutils:amd64 5.7-0.5~deb12u1
